gvkey,tic,conm,cik,investingfirmname,vcid,gvkey1,gvkey2,fracLate,meanValue,meanSolo,topStage,topValue,topSolo
122519,"FLWS","1-800-FLOWERS.COM","0001084869","1-800-FLOWERS.COM",53156,122519,,1,3.85,0,1,0,0
122519,"FLWS","1-800-FLOWERS.COM","0001084869","1-800-FLOWERS.COM",53156,122519,,1,21,0,1,0,0
113498,"TFSM","24/7 REAL MEDIA INC","0001062195","24/7 Real Media",53223,113498,,1,117.04,0,1,0,0
113498,"TFSM","24/7 REAL MEDIA INC","0001062195","24/7 Real Media",53223,113498,,.6666667,82.45333,.3333333,0,0,1
19744,"JD","JD.COM INC","0001549802","JD.com Inc.",53267,19744,,1,1859.675,0,0,1,0
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,.6666667,281.855,.0833333,1,1,1
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,.6666667,83.66666,0,1,1,0
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,.5,109.8867,.5,0,1,1
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,0,55,0,0,1,0
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,.25,40.49,.125,0,0,1
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,0,23,0,0,0,0
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,1,117.4667,.3333333,1,1,1
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,1,88,0,1,1,0
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,1,40.5,1,1,1,1
10553,"COMS.","3COM CORP","0000738076","3Com Corp.",53276,,,.6666667,99.4,0,0,1,0
64984,"TDFX","3DFX INTERACTIVE INC","0001010026","3Dfx Interactive",53290,,,.5,,.5,0,,1
,"gomo","","","Sungy Mobile Ltd.",53305,,,0,,0,0,,0
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,1,,0,1,,0
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,1,60,0,0,1,0
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,1,34,0,0,1,0
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,1,,0,0,,0
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,1,,1,1,,1
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,0,32.5,0,0,0,0
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,0,,1,0,,1
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,1,,0,1,,0
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,1,,0,0,,0
7435,"MMM","3M CO","0000066740","3M Corporation",53315,7435,,1,20.855,.5,0,0,1
176660,"SSRX","3SBIO INC","0001677235","3SBio Inc.",53330,176660,,0,,0,0,,0
176660,"SSRX","3SBIO INC","0001677235","3SBio Inc.",53330,176660,,0,,0,0,,0
128618,"SVNX","724 SOLUTIONS INC","0001097641","724 Solutions",53422,128618,,0,,0,0,,0
128618,"SVNX","724 SOLUTIONS INC","0001097641","724 Solutions",53422,128618,,0,,0,0,,0
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,0,51.855,.5,0,0,1
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,1,21.6,.5,0,0,1
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,0,104.34,0,0,1,0
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,1,59.65,.5,1,1,1
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,0,17.3,0,0,0,0
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,0,3.63,0,0,0,0
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,1,227.61,0,1,1,0
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,1,30.1,1,1,0,1
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,1,,1,0,,1
1078,"ABT","ABBOTT LABORATORIES","0000001800","Abbott Laboratories",53547,1078,,1,165,0,1,1,0
