,Ticker,CIK,10-K Report Date,Notes Link,10-K Report URL
0,AJG,0000354190,000119312520028191,https://www.sec.gov/Archives/edgar/data/0000354190/000119312520028191/R58.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-20-028191.txt
1,AJG,0000354190,000119312519032304,https://www.sec.gov/Archives/edgar/data/0000354190/000119312519032304/R65.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-19-032304.txt
2,AJG,0000354190,000119312519032304,https://www.sec.gov/Archives/edgar/data/0000354190/000119312519032304/R66.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-19-032304.txt
3,AJG,0000354190,000119312518038261,https://www.sec.gov/Archives/edgar/data/0000354190/000119312518038261/R54.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-18-038261.txt
4,AJG,0000354190,000119312518038261,https://www.sec.gov/Archives/edgar/data/0000354190/000119312518038261/R55.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-18-038261.txt
5,AJG,0000354190,000119312517038619,https://www.sec.gov/Archives/edgar/data/0000354190/000119312517038619/R52.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-17-038619.txt
6,AJG,0000354190,000119312517038619,https://www.sec.gov/Archives/edgar/data/0000354190/000119312517038619/R53.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-17-038619.txt
7,AJG,0000354190,000119312516457703,https://www.sec.gov/Archives/edgar/data/0000354190/000119312516457703/R50.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-16-457703.txt
8,AJG,0000354190,000119312516457703,https://www.sec.gov/Archives/edgar/data/0000354190/000119312516457703/R51.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-16-457703.txt
9,AJG,0000354190,000119312515047308,https://www.sec.gov/Archives/edgar/data/0000354190/000119312515047308/R45.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-15-047308.txt
10,AJG,0000354190,000119312515047308,https://www.sec.gov/Archives/edgar/data/0000354190/000119312515047308/R46.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-15-047308.txt
11,AJG,0000354190,000119312514040834,https://www.sec.gov/Archives/edgar/data/0000354190/000119312514040834/R45.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-14-040834.txt
12,AJG,0000354190,000119312514040834,https://www.sec.gov/Archives/edgar/data/0000354190/000119312514040834/R46.htm,https://www.sec.gov/Archives/edgar/data/0000354190/0001193125-14-040834.txt
